task,fold,test_subject,model,n_test,accuracy,f1_macro,f1_weighted
3class,13,15,SVM-RBF,205,0.6878048780487804,0.640361111111111,0.681659756097561
3class,14,16,LogReg,204,0.8872549019607843,0.7654989067779766,0.8603166251593065
3class,14,16,RandomForest,204,0.6715686274509803,0.602066210761863,0.6943377263070358
3class,14,16,HistGradBoost,204,0.8578431372549019,0.7350831483804562,0.8347561933197479
3class,14,16,SVM-RBF,204,0.6470588235294118,0.5981282021012867,0.676579601454559
3class,15,17,LogReg,209,0.631578947368421,0.6012691898464813,0.6508911565071116
3class,15,17,RandomForest,209,0.7703349282296651,0.6287033779028853,0.7471003976578258
3class,15,17,HistGradBoost,209,0.8086124401913876,0.6350704405775859,0.768948368625498
3class,15,17,SVM-RBF,209,0.6746411483253588,0.6305576776165012,0.6954693491141564
binary,1,2,LogReg,194,0.9278350515463918,0.9091395691154824,0.9269852568904413
binary,1,2,RandomForest,194,0.9226804123711341,0.9008686765457332,0.9210025865384108
binary,1,2,HistGradBoost,194,0.8247422680412371,0.7460341906668719,0.8072515841802672
binary,1,2,SVM-RBF,194,0.9226804123711341,0.9043109401203513,0.9224643009328896
binary,2,3,LogReg,197,0.7766497461928934,0.7684829059829059,0.7863616642804461
binary,2,3,RandomForest,197,0.9898477157360406,0.98765664160401,0.9897949187690038
binary,2,3,HistGradBoost,197,0.9746192893401016,0.9686435552159933,0.9742718629375371
binary,2,3,SVM-RBF,197,0.8883248730964467,0.8463120567375886,0.8793512618353314
binary,3,4,LogReg,198,0.9848484848484849,0.9812233285917497,0.9847234794603216
binary,3,4,RandomForest,198,1.0,1.0,1.0
binary,3,4,HistGradBoost,198,1.0,1.0,1.0
binary,3,4,SVM-RBF,198,1.0,1.0,1.0
binary,4,5,LogReg,203,0.9655172413793104,0.9591772242810768,0.9660719928754058
binary,4,5,RandomForest,203,0.9310344827586207,0.9207915273132665,0.9329988851727982
binary,4,5,HistGradBoost,203,0.9211822660098522,0.9101968591019686,0.9236578506651499
binary,4,5,SVM-RBF,203,0.9014778325123153,0.8805320150659134,0.90197067527576
binary,5,6,LogReg,202,0.9356435643564357,0.9265721555797891,0.9373045265268075
binary,5,6,RandomForest,202,1.0,1.0,1.0
binary,5,6,HistGradBoost,202,1.0,1.0,1.0
binary,5,6,SVM-RBF,202,0.9306930693069307,0.9170187793427229,0.9310265885743504
binary,6,7,LogReg,201,0.9800995024875622,0.976241134751773,0.9802900391658728
binary,6,7,RandomForest,201,0.9900497512437811,0.9877558479532164,0.9899970178348027
binary,6,7,HistGradBoost,201,0.9950248756218906,0.9939721097615835,0.995037408548799
binary,6,7,SVM-RBF,201,0.8606965174129353,0.8026647966339411,0.8479188908193954
binary,7,8,LogReg,203,0.9802955665024631,0.9761064030131827,0.9800984293970851
binary,7,8,RandomForest,203,0.9211822660098522,0.8978616352201259,0.9173355640239179
binary,7,8,HistGradBoost,203,0.9901477832512315,0.9881701631701632,0.9901001297553021
binary,7,8,SVM-RBF,203,0.9605911330049262,0.9512136505647681,0.9597482132350242
binary,8,9,LogReg,202,0.900990099009901,0.8705128205128205,0.8972581873571972
binary,8,9,RandomForest,202,0.9455445544554455,0.9292243987896163,0.943693815153135
binary,8,9,HistGradBoost,202,0.9306930693069307,0.908193741072588,0.9275431633541227
binary,8,9,SVM-RBF,202,0.8514851485148515,0.8032723022984029,0.8447353500445487
binary,9,10,LogReg,209,0.8181818181818182,0.8116223908918406,0.824573055028463
binary,9,10,RandomForest,209,0.7990430622009569,0.7655448717948719,0.7981950067476383
binary,9,10,HistGradBoost,209,0.4880382775119617,0.47726794605081696,0.44962409530054537
binary,9,10,SVM-RBF,209,0.9856459330143541,0.9831817816045707,0.9855535273364873
binary,10,11,LogReg,205,0.9707317073170731,0.9662087912087912,0.9710935406057357
binary,10,11,RandomForest,205,0.9365853658536586,0.9287452207160236,0.938084217129971
