modality,n_features,task,model,fold,test_subject,accuracy,f1_macro
Heart only (HR/HRV),9,binary,RandomForest,9,10,0.47368421052631576,0.4602272727272727
Heart only (HR/HRV),9,binary,LogReg,10,11,1.0,1.0
Heart only (HR/HRV),9,binary,RandomForest,10,11,0.975609756097561,0.9717233578857347
Heart only (HR/HRV),9,binary,LogReg,11,13,0.6568627450980392,0.6552390149686143
Heart only (HR/HRV),9,binary,RandomForest,11,13,0.7843137254901961,0.7737903225806452
Heart only (HR/HRV),9,binary,LogReg,12,14,1.0,1.0
Heart only (HR/HRV),9,binary,RandomForest,12,14,1.0,1.0
Heart only (HR/HRV),9,binary,LogReg,13,15,0.6682926829268293,0.6138076241134751
Heart only (HR/HRV),9,binary,RandomForest,13,15,0.848780487804878,0.8106433062185274
Heart only (HR/HRV),9,binary,LogReg,14,16,0.9264705882352942,0.9181621245754326
Heart only (HR/HRV),9,binary,RandomForest,14,16,0.9901960784313726,0.9885173927727119
Heart only (HR/HRV),9,binary,LogReg,15,17,0.8660287081339713,0.8582364341085271
Heart only (HR/HRV),9,binary,RandomForest,15,17,0.937799043062201,0.9313628899835796
EDA only,7,3class,LogReg,1,2,0.7268041237113402,0.6166220426310113
EDA only,7,3class,RandomForest,1,2,0.7525773195876289,0.5551387486173232
EDA only,7,3class,LogReg,2,3,0.4010152284263959,0.4023658772468926
EDA only,7,3class,RandomForest,2,3,0.467005076142132,0.4486828797709627
EDA only,7,3class,LogReg,3,4,0.8484848484848485,0.7202380952380952
EDA only,7,3class,RandomForest,3,4,0.8434343434343434,0.6254980079681275
EDA only,7,3class,LogReg,4,5,0.5123152709359606,0.42601010101010095
EDA only,7,3class,RandomForest,4,5,0.3842364532019704,0.2818206972883232
EDA only,7,3class,LogReg,5,6,0.4900990099009901,0.48336681398151865
EDA only,7,3class,RandomForest,5,6,0.5891089108910891,0.43135964912280694
EDA only,7,3class,LogReg,6,7,0.6019900497512438,0.5982091982091983
EDA only,7,3class,RandomForest,6,7,0.4228855721393035,0.3837045066351334
EDA only,7,3class,LogReg,7,8,0.3497536945812808,0.36805942589496315
EDA only,7,3class,RandomForest,7,8,0.7142857142857143,0.5028822055137844
EDA only,7,3class,LogReg,8,9,0.6782178217821783,0.5378880364151065
EDA only,7,3class,RandomForest,8,9,0.8514851485148515,0.7380642431204364
EDA only,7,3class,LogReg,9,10,0.722488038277512,0.5123944613306316
EDA only,7,3class,RandomForest,9,10,0.6650717703349283,0.44751664106502814
EDA only,7,3class,LogReg,10,11,0.5756097560975609,0.5561735366083193
EDA only,7,3class,RandomForest,10,11,0.7658536585365854,0.5502145002145001
EDA only,7,3class,LogReg,11,13,0.3284313725490196,0.1948577096208133
EDA only,7,3class,RandomForest,11,13,0.27941176470588236,0.14559386973180077
EDA only,7,3class,LogReg,12,14,0.44607843137254904,0.3643225557763634
EDA only,7,3class,RandomForest,12,14,0.6127450980392157,0.4289496303936737
EDA only,7,3class,LogReg,13,15,0.4878048780487805,0.383645849475696
EDA only,7,3class,RandomForest,13,15,0.6341463414634146,0.40362979387369635
EDA only,7,3class,LogReg,14,16,0.9068627450980392,0.8130007155064711
EDA only,7,3class,RandomForest,14,16,0.8921568627450981,0.7772072457566681
EDA only,7,3class,LogReg,15,17,0.2966507177033493,0.27624761188561425
EDA only,7,3class,RandomForest,15,17,0.5215311004784688,0.35401274226362567
EDA only,7,binary,LogReg,1,2,0.8402061855670103,0.8185657827254351
EDA only,7,binary,RandomForest,1,2,0.9175257731958762,0.894907908992416
EDA only,7,binary,LogReg,2,3,0.7715736040609137,0.7530159083943945
EDA only,7,binary,RandomForest,2,3,0.8629441624365483,0.8267934481748022
EDA only,7,binary,LogReg,3,4,1.0,1.0
EDA only,7,binary,RandomForest,3,4,1.0,1.0
EDA only,7,binary,LogReg,4,5,0.7339901477832512,0.7267696909272183
EDA only,7,binary,RandomForest,4,5,0.6354679802955665,0.6339668615984406
EDA only,7,binary,LogReg,5,6,0.7722772277227723,0.7639227642276423
EDA only,7,binary,RandomForest,5,6,0.7871287128712872,0.7713909724963811
EDA only,7,binary,LogReg,6,7,0.9502487562189055,0.9422015182884748
EDA only,7,binary,RandomForest,6,7,0.9601990049751243,0.9533534462752378
EDA only,7,binary,LogReg,7,8,0.7881773399014779,0.7444148391063743
EDA only,7,binary,RandomForest,7,8,0.8275862068965517,0.7439916405433646
EDA only,7,binary,LogReg,8,9,0.7871287128712872,0.7770247721730201
EDA only,7,binary,RandomForest,8,9,0.9207920792079208,0.902238354506957
EDA only,7,binary,LogReg,9,10,0.8660287081339713,0.8207986281234689
EDA only,7,binary,RandomForest,9,10,0.8229665071770335,0.7479876160990713
EDA only,7,binary,LogReg,10,11,0.7902439024390244,0.7625589225589225
EDA only,7,binary,RandomForest,10,11,0.8829268292682927,0.8541963015647227
EDA only,7,binary,LogReg,11,13,0.3235294117647059,0.2725581395348837
EDA only,7,binary,RandomForest,11,13,0.3872549019607843,0.3686712386422718
EDA only,7,binary,LogReg,12,14,0.6911764705882353,0.5855129486890057
EDA only,7,binary,RandomForest,12,14,0.7009803921568627,0.41210374639769454
EDA only,7,binary,LogReg,13,15,0.7658536585365854,0.6406660823838738
EDA only,7,binary,RandomForest,13,15,0.775609756097561,0.6428030303030303
EDA only,7,binary,LogReg,14,16,0.9754901960784313,0.9716595815620572
EDA only,7,binary,RandomForest,14,16,0.9656862745098039,0.9580579786765353
EDA only,7,binary,LogReg,15,17,0.5980861244019139,0.4988581868006394
EDA only,7,binary,RandomForest,15,17,0.7320574162679426,0.5586726998491705
Resp only,2,3class,LogReg,1,2,0.36597938144329895,0.3946123321123321
Resp only,2,3class,RandomForest,1,2,0.422680412371134,0.458630235720019
Resp only,2,3class,LogReg,2,3,0.7766497461928934,0.7584413626771179
Resp only,2,3class,RandomForest,2,3,0.7055837563451777,0.5803332126656843
Resp only,2,3class,LogReg,3,4,0.5909090909090909,0.5785549486629855
Resp only,2,3class,RandomForest,3,4,0.6818181818181818,0.6110115571424977
Resp only,2,3class,LogReg,4,5,0.8374384236453202,0.7061740318849088
Resp only,2,3class,RandomForest,4,5,0.8029556650246306,0.6372162450928952
Resp only,2,3class,LogReg,5,6,0.7227722772277227,0.7146973354364805
Resp only,2,3class,RandomForest,5,6,0.7524752475247525,0.7313325330132052
Resp only,2,3class,LogReg,6,7,0.8109452736318408,0.7202194357366771
Resp only,2,3class,RandomForest,6,7,0.7661691542288557,0.6267233585934944
Resp only,2,3class,LogReg,7,8,0.6945812807881774,0.6218978937728937
Resp only,2,3class,RandomForest,7,8,0.645320197044335,0.5437248677248677
Resp only,2,3class,LogReg,8,9,0.7029702970297029,0.5226249703861644
Resp only,2,3class,RandomForest,8,9,0.6881188118811881,0.5055193394176445
Resp only,2,3class,LogReg,9,10,0.645933014354067,0.5868874357152832
Resp only,2,3class,RandomForest,9,10,0.6985645933014354,0.5695141868050908
Resp only,2,3class,LogReg,10,11,0.7024390243902439,0.5826669472502807
Resp only,2,3class,RandomForest,10,11,0.7073170731707317,0.5442650798416254
Resp only,2,3class,LogReg,11,13,0.39705882352941174,0.34277125451506824
Resp only,2,3class,RandomForest,11,13,0.4264705882352941,0.35347237051272923
Resp only,2,3class,LogReg,12,14,0.7058823529411765,0.6847237269772481
Resp only,2,3class,RandomForest,12,14,0.6715686274509803,0.5904684095860567
Resp only,2,3class,LogReg,13,15,0.6097560975609756,0.5033850860918531
Resp only,2,3class,RandomForest,13,15,0.5853658536585366,0.48300756736803246
Resp only,2,3class,LogReg,14,16,0.6715686274509803,0.5311912540934773
Resp only,2,3class,RandomForest,14,16,0.6911764705882353,0.5302443107381277
Resp only,2,3class,LogReg,15,17,0.631578947368421,0.5832864767958277
Resp only,2,3class,RandomForest,15,17,0.7177033492822966,0.6190756582195613
Resp only,2,binary,LogReg,1,2,0.9587628865979382,0.9486772486772487
Resp only,2,binary,RandomForest,1,2,0.8814432989690721,0.8460689274502363
Resp only,2,binary,LogReg,2,3,0.7817258883248731,0.7577291577291577
Resp only,2,binary,RandomForest,2,3,0.7766497461928934,0.7529639762881897
Resp only,2,binary,LogReg,3,4,0.8686868686868687,0.8522727272727273
Resp only,2,binary,RandomForest,3,4,0.8535353535353535,0.8319234259286362
Resp only,2,binary,LogReg,4,5,0.9852216748768473,0.981989175760802
Resp only,2,binary,RandomForest,4,5,0.9408866995073891,0.9233962264150943
Resp only,2,binary,LogReg,5,6,0.8613861386138614,0.8469696969696969
Resp only,2,binary,RandomForest,5,6,0.8663366336633663,0.8462579281183933
Resp only,2,binary,LogReg,6,7,0.9502487562189055,0.9394140342416204
Resp only,2,binary,RandomForest,6,7,0.9054726368159204,0.8775372775372775
Resp only,2,binary,LogReg,7,8,0.8423645320197044,0.8174460431654677
Resp only,2,binary,RandomForest,7,8,0.7881773399014779,0.7468754530955488
Resp only,2,binary,LogReg,8,9,0.8465346534653465,0.8288088794116844
Resp only,2,binary,RandomForest,8,9,0.8366336633663366,0.8136062410871572
Resp only,2,binary,LogReg,9,10,0.9138755980861244,0.9033401849948612
Resp only,2,binary,RandomForest,9,10,0.9043062200956937,0.8901618667227245
Resp only,2,binary,LogReg,10,11,0.8097560975609757,0.7892114213398719
Resp only,2,binary,RandomForest,10,11,0.8195121951219512,0.7907528483544374
Resp only,2,binary,LogReg,11,13,0.4166666666666667,0.3989750191874427
Resp only,2,binary,RandomForest,11,13,0.4411764705882353,0.4357531055900621
Resp only,2,binary,LogReg,12,14,0.8235294117647058,0.8091476091476092
Resp only,2,binary,RandomForest,12,14,0.803921568627451,0.7825159914712154
Resp only,2,binary,LogReg,13,15,0.6926829268292682,0.6868407652578744
Resp only,2,binary,RandomForest,13,15,0.697560975609756,0.6873770169224714
Resp only,2,binary,LogReg,14,16,0.8382352941176471,0.7980500974951252
Resp only,2,binary,RandomForest,14,16,0.7843137254901961,0.7160931174089069
Resp only,2,binary,LogReg,15,17,0.8181818181818182,0.7913075467731763
Resp only,2,binary,RandomForest,15,17,0.8564593301435407,0.833916083916084
